"","Entrez.Mouse","Entrez.Human","Entrez.Rat"
"171504",171504,55911,499264
"66124",66124,126119,292876
"217140",217140,90507,360612
"192192",192192,92799,292735
"72692",72692,92906,313842
"224090",224090,93109,288028
"102032",102032,114926,100362321
"70450",70450,201294,192177
"328699",328699,200959,192258
"227325",227325,92737,316573
"269275",269275,130399,245921
"244431",244431,137868,364605
"224014",224014,121512,246174
"269629",269629,375612,103692025
"100978",100978,152518,289595
"319670",319670,161436,444982
"270150",270150,283152,300663
"67781",67781,3608,310612
"71382",71382,5189,500006
"70294",70294,55658,314613
"381122",381122,92291,362701
"210582",210582,93058,362810
"67161",67161,132320,266809
"103080",103080,151011,309891
"218518",218518,153562,NA
"208449",208449,259230,353229
"216965",216965,57551,286993
"225898",225898,256364,NA
"56538",56538,11012,292849
"329872",329872,158326,298185
"70853",70853,200403,501126
"74453",74453,220136,NA
"320118",320118,222235,100125363
"240518",240518,246330,309157
"106618",106618,197335,102555298
"108735",108735,375035,360868
"230789",230789,199870,362618
"230822",230822,400746,689826
"100045778",100045778,401934,680874
"231003",231003,339451,246757
"69312",69312,286187,683514
"22033",22033,7188,684173
"234725",234725,7571,307839
"100532",100532,768211,289635
"106064",106064,285636,310362
"211480",211480,3770,276720
"212937",212937,497189,364674
"213989",213989,388595,298605
"218215",218215,255488,364681
"224661",224661,116369,309646
"233887",233887,197407,103690203
"258296",258296,122748,NA
"258357",258357,401665,502357
"258424",258424,26533,NA
"258478",258478,403274,NA
"258507",258507,26531,294197
"258614",258614,343169,293075
"258772",258772,254783,405966
"329460",329460,219431,404833
"237781",237781,125170,497916
"110891",110891,6543,140447
"228366",228366,120071,311202
"268445",268445,124930,360575
"68691",68691,151050,367289
"75823",75823,196951,296118
"545279",545279,219995,365408
"234577",234577,221184,498972
"320705",320705,221336,363212
"330222",330222,221935,304297
"231014",231014,222223,502727
"217951",217951,256130,500750
"193043",193043,124961,497944
"330428",330428,120939,689963
"216867",216867,162515,287450
"235628",235628,339906,301027
"225523",225523,153241,307302
"71827",71827,151827,499589
"244556",244556,163049,100363196
"224617",224617,57465,287110
"212326",212326,25854,361153
"99010",99010,254531,296048
"329154",329154,91526,301415
"75811",75811,158297,679802
"243078",243078,253017,364134
"625098",625098,145389,299139
"68423",68423,338692,361699
"237500",237500,160418,314785
"193796",193796,23030,301128
"229706",229706,388662,613226
"230674",230674,9682,313539
"207521",207521,23220,293774
"226470",226470,360023,NA
"230779",230779,347735,313057
"232237",232237,152273,362402
"233877",233877,253980,293497
"237987",237987,92736,287820
"239546",239546,58500,102555083
"243510",243510,84865,297380
"244923",244923,401265,315833
"268510",268510,146664,303693
"223666",223666,80728,500901
"18021",18021,4775,361400
"216343",216343,121278,317675
"235682",235682,353274,301076
"215819",215819,57224,308631
"384605",384605,126248,292809
"435772",435772,168975,689462
"338364",338364,201292,303684
"72184",72184,283212,308850
"103775",103775,284427,301114
"320940",320940,286410,317599
"208982",208982,54511,367112
"67983",67983,255762,308954
"67609",67609,285237,NA
"215855",215855,319100,294124
"223915",223915,319101,300248
"68839",68839,157567,299982
"209601",209601,127254,295528
"103172",103172,400916,361824
"105722",105722,196527,315272
"207607",207607,55036,287867
"215890",215890,134829,361459
"11603",11603,375790,25592
"382075",382075,161753,315695
"76041",76041,202243,499518
"319675",319675,85459,363018
"320226",320226,203238,502957
"320452",320452,283208,361612
"320460",320460,402117,501160
"320500",320500,401498,690918
"268396",268396,285590,303021
"327814",327814,8499,362876
"227526",227526,441549,361276
"241636",241636,343641,296152
"330671",330671,338707,309105
"214764",214764,26098,309069
"268379",268379,154664,289797
"246177",246177,64005,289785
"74843",74843,118490,289904
"114570",114570,401262,501100
"330627",330627,9866,361623
"67085",67085,282966,680885
"328643",328643,90113,303812
"101809",101809,399473,308478
"321019",321019,1880,679975
"216166",216166,126520,314627
"232035",232035,401145,500153
"546726",546726,340665,308190
"71003",71003,360226,681033
"241116",241116,255101,301521
"320502",320502,56203,500267
"382252",382252,256643,501559
"76795",76795,23061,360520
"225266",225266,57565,364823
"77595",77595,91181,365844
"241694",241694,57186,296211
"226252",226252,57700,361774
"208151",208151,114795,304458
"70701",70701,152519,289594
"240879",240879,149281,289167
"216742",216742,96459,100362347
"67412",67412,387104,108349256
"217340",217340,114804,688272
"69315",69315,134121,361192
"105841",105841,22898,315055
"72301",72301,85352,500913
"70113",70113,440836,500917
"223827",223827,283464,300173
"224794",224794,22875,301261
"72504",72504,6875,291773
"78753",78753,340654,309528
"226922",226922,56479,259273
"319817",319817,54542,311909
"229541",229541,9909,361987
"75180",75180,100129924,500537
"665563",665563,441024,305248
"269700",269700,283450,304503
"93677",93677,442721,296935
"73407",73407,374739,291850
"71597",71597,91464,682968
"234915",234915,57562,315409
"73809",73809,340562,302325
"240505",240505,55561,293693
"73713",73713,282996,309544
"242505",242505,158158,298138
"230883",230883,126767,313686
"242805",242805,441869,NA
"71544",71544,143872,500943
"244682",244682,53942,114589
"245902",245902,80071,367056
"217151",217151,390790,497990
"328967",328967,389337,307398
"208613",208613,389177,499586
"380780",380780,256394,362774
"69535",69535,100134934,360664
"71146",71146,401647,309378
"668225",668225,401720,102555469
"279618",279618,389895,367949
"258334",258334,285659,NA
"224273",224273,131544,288204
"225182",225182,5932,291787
"77522",77522,155006,NA
"381974",381974,386746,NA
"68693",68693,221092,NA
"70713",70713,283554,305812
"78923",78923,337876,291577
"639634",639634,344752,NA
"100504689",100504689,389158,501036
"78733",78733,10024,300219
"74901",74901,9920,306617
"381113",381113,344387,503009
"381544",381544,339541,500531
"338355",338355,23307,362528
"20585",20585,6596,295568
"381836",381836,646643,691411
"11555",11555,154,NA
"11789",11789,324,24205
"11816",11816,348,25728
"11920",11920,472,300711
"12229",12229,695,367901
"13075",13075,1588,25147
"14042",14042,2131,299907
"14118",14118,2200,83727
"14815",14815,2908,24413
"20423",20423,6469,29499
"17969",17969,653361,114553
"246103",246103,6314,361015
"22173",22173,7299,308800
"22376",22376,7454,317371
"14724",14724,2812,116727
"14058",14058,2159,29243
"19725",19725,5990,301121
"12846",12846,1312,24267
"13122",13122,1581,25428
"13488",13488,1812,24316
"15357",15357,3156,25675
"16001",16001,3480,25718
"18451",18451,5033,64475
"69060",69060,5406,25702
"19225",19225,5743,29527
"11298",11298,15,25120
"107476",107476,31,60581
"11472",11472,88,291245
"15166",15166,610,114244
"12261",12261,708,29681
"12371",12371,842,58918
"15571",15571,1995,282824
"56501",56501,2000,302811
"14199",14199,2273,25177
"56484",56484,2309,294515
"233863",233863,2975,171063
"15982",15982,3475,29596
"11877",11877,421,303798
"12173",12173,646,365299
"12483",12483,933,308501
"12518",12518,973,100913063
"12663",12663,1122,689102
"108699",108699,1123,84030
"11909",11909,1386,81647
"13384",13384,4356,114202
"237213",237213,2742,24397
"217082",217082,3131,690286
"15368",15368,3162,24451
"14236",14236,3344,301676
"53626",53626,3642,100912563
"57444",57444,3669,293052
"16672",16672,3885,303528
"17076",17076,4065,499800
"17113",17113,4074,NA
"17260",17260,4208,499497
"17309",17309,4248,29582
"17314",17314,4255,25332
"17869",17869,4609,24577
"66046",66046,4711,294964
"18247",18247,4947,501454
"18491",18491,5069,313262
"74108",74108,5073,360464
"93706",93706,5098,NA
"18701",18701,5281,681086
"50912",50912,5394,313707
"14208",14208,5496,259229
"15242",15242,3087,79237
"56213",56213,5654,65164
"73728",73728,5662,171381
"19365",19365,5893,297561
"71137",71137,5992,500818
"20971",20971,6385,24771
"52551",52551,6449,64667
"20481",20481,6497,313757
"232156",232156,57835,297386
"20493",20493,6554,24777
"20583",20583,6591,NA
"20598",20598,6610,83537
"77634",77634,6619,362537
"20692",20692,6678,24791
"234847",234847,6687,353231
"20807",20807,6722,501099
"319944",319944,6873,170844
"21780",21780,7019,83474
"21685",21685,7008,29362
"21752",21752,7015,301965
"21825",21825,7057,445442
"21917",21917,7112,NA
"21922",21922,7123,100912012
"22141",22141,7275,25609
"78610",78610,7405,308846
"22390",22390,7465,308937
"22670",22670,7726,309586
"12217",12217,8927,29138
"22793",22793,7791,114636
"11640",11640,8165,114124
"12545",12545,8317,360908
"29815",29815,8412,310838
"72102",72102,8446,297412
"53892",53892,8493,287585
"66352",66352,8548,498266
"22061",22061,8626,246334
"56464",56464,8722,361704
"17929",17929,8736,316740
"433375",433375,8804,289185
"12569",12569,8851,116671
"18412",18412,8878,113894
"12427",12427,8900,295052
"20392",20392,8910,432360
"21853",21853,8914,83508
"235439",235439,8925,315771
"78688",78688,8996,85383
"12337",12337,726,171495
"69993",69993,1124,84031
"14148",14148,2230,29189
"27357",27357,2992,81675
"16897",16897,3996,54265
"18392",18392,4998,313479
"14582",14582,8328,311832
"20669",20669,8403,300954
"268930",268930,9088,287101
"14755",14755,9091,287159
"98267",98267,9262,170904
"170472",170472,9400,287834
"213539",213539,9532,690038
"17172",17172,429,64186
"12915",12915,1388,406169
"18218",18218,1850,361679
"100678",100678,5723,304429
"277973",277973,6553,192215
"72354",72354,7268,362556
"16975",16975,7804,362558
"78783",78783,7862,679713
"236733",236733,8237,408217
"13549",13549,9149,308468
"67655",67655,9150,291414
"194590",194590,9185,363466
"14924",14924,9223,500261
"224997",224997,9229,65040
"21379",21379,9238,360977
"13722",13722,9255,114632
"19157",19157,9267,116691
"98741",98741,9312,117105
"69106",69106,9399,300748
"52150",52150,9424,116491
"14593",14593,9453,291211
"16431",16431,9452,317218
"67384",67384,9530,361167
"66290",66290,9550,NA
"17771",17771,9633,309142
"12192",12192,677,29344
"16468",16468,3720,681740
"69089",69089,5018,691393
"67738",67738,5481,361967
"20338",20338,6400,314352
"108737",108737,9943,NA
"230753",230753,9967,313591
"13356",13356,9993,360742
"14708",14708,2788,NA
"22224",22224,9100,307905
"11859",11859,401,116648
"11921",11921,474,500156
"12350",12350,761,54232
"14453",14453,2620,499156
"14748",14748,2827,266769
"17128",17128,4089,50554
"17863",17863,4602,498982
"19099",19099,9479,116457
"16658",16658,9935,54264
"59013",59013,3187,140931
"17287",17287,4224,25684
"236732",236732,8241,64510
"21340",21340,9014,690450
"22057",22057,10140,170842
"19654",19654,10180,315997
"14251",14251,10211,64665
"22036",22036,10293,367167
"17152",17152,4117,25677
"26407",26407,4216,308106
"246198",246198,4302,303504
"26909",26909,9156,305000
"15185",15185,10013,108348065
"57783",57783,10318,363599
"20346",20346,10371,29751
"18511",18511,5083,362741
"18595",18595,5156,25267
"18616",18616,5178,103691034
"22594",22594,7515,84495
"56534",56534,8988,78951
"20602",20602,9612,360801
"12913",12913,10488,298400
"22249",22249,10497,64830
"66884",66884,10513,303396
"239447",239447,10584,299928
"192231",192231,10614,498008
"117198",117198,10625,289089
"56048",56048,3964,116641
"19267",19267,5791,114767
"20492",20492,7884,681062
"66161",66161,10775,292831
"231712",231712,10906,114635
"56409",56409,11165,294292
"22634",22634,5325,25157
"246179",246179,2218,362520
"14282",14282,2354,100360880
"21957",21957,7140,24838
"12227",12227,7832,29619
"216440",216440,10956,362891
"56532",56532,11035,246240
"110809",110809,6426,689890
"53881",53881,6526,114507
"76167",76167,11066,360803
"232989",232989,11100,NA
"11907",11907,11101,293526
"54610",54610,11138,680133
"229228",229228,11162,207120
"22278",22278,7391,NA
"83997",83997,7871,290533
"24117",24117,11197,114557
"94062",94062,11222,300974
"66489",66489,11224,NA
"27055",27055,11328,297123
"110074",110074,1854,497778
"22115",22115,23617,NA
"56495",56495,439,288919
"67444",67444,80895,64538
"70882",70882,219681,100361506
"22791",22791,27000,116456
"24057",24057,26751,362724
"70456",70456,25874,100359982
"72171",72171,55164,297483
"56703",56703,84720,313341
"26416",26416,1432,81649
"21417",21417,6935,25705
"13859",13859,58513,361120
"55961",55961,6561,58980
"27409",27409,64240,114628
"67619",67619,28987,291996
"381511",381511,54704,54705
"246221",246221,4357,192172
"68165",68165,112812,313786
"383766",383766,140711,502689
"107182",107182,9044,368042
"380836",380836,57380,79032
"73046",73046,51218,362776
"27377",27377,10730,114217
"110033",110033,3835,293502
"226641",226641,22926,304962
"18779",18779,22925,295631
"12262",12262,714,362634
"12789",12789,1260,25411
"14461",14461,2624,25159
"14464",14464,140628,499951
"14705",14705,26580,361722
"16979",16979,57633,500280
"17060",17060,29760,499356
"17292",17292,55897,308766
"17433",17433,4336,25037
"17864",17864,4603,297783
"17913",17913,4641,65261
"18128",18128,4851,25496
"18146",18146,56654,NA
"18183",18183,10718,498596
"18292",18292,645832,58922
"18559",18559,58488,29510
"18590",18590,5154,25266
"18783",18783,5321,24653
"19301",19301,5827,29533
"19697",19697,5970,309165
"20480",20480,81570,65041
"21778",21778,374618,300822
"22774",22774,84107,315882
"22775",22775,284307,102554457
"11787",11787,323,305338
"13131",13131,1600,266729
"13650",13650,64285,303008
"14431",14431,2593,25257
"15111",15111,9464,64637
"15165",15165,348980,84390
"15203",15203,9843,117240
"15412",15412,3214,497988
"16882",16882,3980,303369
"17256",17256,4201,685131
"17279",17279,9833,362510
"18044",18044,4800,29508
"18711",18711,200576,316457
"19158",19158,9266,116692
"19356",19356,5884,310034
"19367",19367,5883,100361529
"19649",19649,64221,315564
"20318",20318,51150,155173
"20399",20399,25970,89817
"20419",20419,79801,364648
"20466",20466,25942,363067
"22361",22361,8876,29142
"22640",22640,162239,498952
"26377",26377,27071,362046
"27015",27015,51426,171525
"26961",26961,6132,NA
"107503",107503,22809,282840
"72993",72993,26060,290537
"29871",29871,22955,NA
"21426",21426,22797,26296
"16512",16512,23416,27150
"105988",105988,9700,315330
"434784",434784,23641,367956
"27362",27362,4189,24908
"84505",84505,9869,689883
"22378",22378,23558,192645
"225908",225908,745,293736
"71982",71982,29887,297096
"13854",13854,29924,117277
"56322",56322,29928,79463
"54484",54484,23608,296988
"238057",238057,151449,252833
"20167",20167,6253,308410
"27274",27274,117608,NA
"17434",17434,4338,294753
"29863",29863,27115,140929
"29864",29864,26994,NA
"29877",29877,50810,252941
"30838",30838,6468,309444
"30843",30843,54850,313782
"30951",30951,57332,303731
"100505386",100505386,100505385,NA
"69305",69305,28960,NA
"14628",14628,28962,499474
"216963",216963,28964,83709
"66973",66973,28973,294230
"52713",52713,29080,314799
"66067",66067,29083,360714
"27395",27395,29088,297799
"67105",67105,29090,307210
"226551",226551,51430,360863
"230073",230073,23586,297989
"195733",195733,29841,313993
"74322",74322,30827,291440
"208628",208628,9735,304477
"51897",51897,9776,362164
"66839",66839,9812,307480
"224938",224938,9867,192256
"226517",226517,9887,360855
"64176",64176,9899,117556
"64051",64051,9900,117559
"68999",68999,10393,361389
"99982",99982,23028,500569
"380916",380916,23143,502020
"217864",217864,23186,102554884
"212712",212712,23314,501145
"68737",68737,23357,362765
"102098",102098,23370,304193
"52615",52615,23512,688041
"338467",338467,23515,304074
"69010",69010,25847,685029
"107392",107392,25855,293668
"101185",101185,25913,500054
"68979",68979,25926,688885
"171508",171508,78987,312638
"68925",68925,26015,311338
"320495",320495,26034,361474
"78913",78913,26046,288308
"227867",227867,26122,NA
"272359",272359,26145,308404
"209416",209416,27238,679890
"74737",74737,51585,361605
"231999",231999,84725,500132
"71449",71449,51603,289159
"66163",66163,51073,363023
"50794",50794,51621,499171
"69702",69702,51103,296086
"67223",67223,51018,360895
"52443",52443,51642,293149
"66253",66253,51390,292486
"12165",12165,2658,290921
"380629",380629,51696,308624
"97863",97863,51439,291031
"213541",213541,51441,313053
"69227",69227,51714,365802
"74100",74100,10777,363153
"26901",26901,51188,687029
"66588",66588,51727,298410
"56210",56210,51455,316344
"56315",56315,51458,293048
"329506",329506,51496,311368
"76843",76843,51514,305073
"232679",232679,51530,296957
"74753",74753,51531,298072
"66493",66493,51258,297601
"67900",67900,51537,289745
"619605",619605,51538,500555
"67136",67136,55709,311185
"231507",231507,51316,360914
"83485",83485,51335,499191
"65964",65964,51776,311743
"17121",17121,83463,252915
"18018",18018,4772,100361818
"53404",53404,220202,365564
"58859",58859,30008,293677
"216363",216363,117177,29885
"239985",239985,57492,282546
"75871",75871,55565,NA
"71592",71592,57645,304941
"70650",70650,55596,288661
"60364",60364,29980,288257
"225888",225888,51111,361688
"75785",75785,54800,303803
"67203",67203,54820,83836
"66875",66875,54823,289088
"66695",66695,54829,306805
"269536",269536,54881,298065
"217558",217558,55632,299002
"208198",208198,55643,500793
"69612",69612,54934,300206
"68440",68440,54935,360881
"66072",66072,54949,361726
"245857",245857,54961,365396
"66131",66131,54962,NA
"72612",72612,54969,290706
"235330",235330,54970,300696
"234076",234076,55002,306607
"328110",328110,55015,314171
"229937",229937,54680,292160
"68260",68260,55039,314999
"210148",210148,55676,298786
"68014",68014,55055,691493
"73916",73916,55081,303968
"192191",192191,55090,497914
"100383",100383,55108,297890
"74513",74513,81831,307757
"67789",67789,55152,363146
"68565",68565,55168,301249
"70573",70573,55171,303830
"74133",74133,55181,287596
"213522",213522,55200,100362241
"333789",333789,55728,305342
"66867",66867,10363,315689
"227334",227334,55230,316599
"234865",234865,55746,292085
"234463",234463,55751,291946
"67073",67073,55300,305419
"67557",67557,55323,315731
"75007",75007,55793,310665
"21763",21763,55852,303611
"52033",52033,55872,290326
"59043",59043,55884,288692
"57773",57773,10785,690032
"101869",101869,55898,308759
"102247",102247,137964,290843
"20358",20358,57556,361324
"14701",14701,55970,114120
"56030",56030,23505,316335
"93886",93886,56129,108348201
"74030",74030,54453,311494
"77766",77766,26610,687694
"54519",54519,54518,307171
"28028",28028,54534,NA
"66586",66586,54675,366196
"67178",67178,55954,501926
"50780",50780,5998,54293
"54483",54483,4210,58923
"56149",56149,160622,192254
"56187",56187,5875,58983
"56176",56176,51227,288238
"231803",231803,56257,304361
"24105",24105,10616,60383
"56697",56697,11216,360540
"56632",56632,56848,308589
"26879",26879,8706,310508
"66706",66706,25915,56769
"99138",99138,56910,296128
"233545",233545,56946,361607
"226830",226830,56950,289372
"68842",68842,56995,499016
"15245",15245,64399,291936
"319801",319801,57103,502894
"71793",71793,57117,295448
"74600",74600,57129,294963
"57246",57246,57057,315497
"328580",328580,85378,362980
"215160",215160,57414,360793
"229542",229542,57459,310614
"140721",140721,57513,303678
"223701",223701,57591,315151
"244891",244891,49855,117521
"116873",116873,57620,117087
"210297",210297,57631,680591
"226352",226352,57669,304733
"279561",279561,65267,317420
"74347",74347,57707,307901
"78308",78308,56927,316136
"228869",228869,57727,296372
"18011",18011,9148,309459
"58238",58238,220382,499205
"58245",58245,160897,306165
"58805",58805,51085,171078
"59015",59015,23279,311182
"59090",59090,90007,314623
"434756",434756,158798,60332
"11782",11782,11154,366618
"228839",228839,60436,499929
"63993",63993,60482,85426
"64010",64010,60485,299116
"26886",26886,64946,681185
"76497",76497,6992,NA
"63954",63954,116362,362662
"209239",209239,8139,NA
"27397",27397,63875,171061
"208076",208076,63876,680549
"112407",112407,112399,54702
"214901",214901,63922,287146
"114304",114304,64078,140944
"233781",233781,64131,64133
"71586",71586,64135,499801
"22384",22384,7458,288599
"107449",107449,219699,60630
"231583",231583,10861,64076
"78977",78977,64208,641520
"18193",18193,64324,306764
"81500",81500,64374,291673
"22401",22401,64393,64394
"207952",207952,64410,293023
"227525",227525,64421,259171
"64707",64707,79723,364785
"239839",239839,64770,288054
"73469",73469,152006,171501
"97998",97998,64798,314979
"140917",140917,64858,310745
"67994",67994,64963,499185
"79044",79044,65993,287126
"76251",76251,375748,361197
"69527",69527,64965,301371
"70020",70020,83444,500225
"83431",83431,81565,170845
"107022",107022,65983,307288
"78541",78541,140461,315287
"216156",216156,57418,314617
"67231",67231,128637,362237
"224647",224647,64771,294154
"432486",432486,79158,362865
"97961",97961,79159,362955
"68035",68035,79171,361545
"27984",27984,79180,298609
"242418",242418,79269,313242
"66310",66310,84661,NA
"79566",79566,80851,690898
"244329",244329,79648,306594
"66627",66627,79676,NA
"74035",74035,79707,313744
"227835",227835,79712,362129
"83557",83557,79727,500562
"69672",69672,79770,NA
"67131",67131,79777,303577
"234796",234796,79786,498957
"76792",76792,79794,498188
"233912",233912,79798,361653
"213484",213484,79873,361068
"75553",75553,79882,192359
"67770",67770,79886,500501
"116940",116940,96764,312947
"208967",208967,79896,498805
"74763",74763,79903,363545
"237877",237877,79915,303348
"67422",67422,79947,298541
"252973",252973,79977,299979
"77411",77411,80004,307810
"52357",52357,80014,498630
"66641",66641,80143,362007
"66943",66943,80148,361352
"230088",230088,80256,298201
"13831",13831,80314,100362678
"66172",66172,400569,287456
"66308",66308,136647,684996
"66326",66326,85479,499579
"66407",66407,64960,298517
"66691",66691,26130,311880
"66715",66715,113802,100363095
"66717",66717,257236,289716
"66859",66859,220963,687808
"66949",66949,286827,365813
"67017",67017,116151,296408
"67036",67036,84311,287656
"67044",67044,192286,NA
"67122",67122,441478,499745
"67177",67177,81620,292071
"67276",67276,90459,361159
"330171",330171,83892,494521
"67457",67457,83786,309172
"67864",67864,84272,362699
"67971",67971,51673,291966
"68002",68002,135154,NA
"68187",68187,57579,367235
"68209",68209,84153,NA
"68236",68236,149699,366244
"68268",68268,340481,298184
"52670",52670,642843,287799
"68818",68818,130617,363253
"68943",68943,65018,298575
"107734",107734,51263,301352
"69706",69706,122769,685860
"69737",69737,150465,171572
"228880",228880,23613,296374
"69962",69962,92342,304928
"69641",69641,91833,314453
"71242",71242,202051,291676
"71861",71861,151112,296455
"52666",52666,115557,314904
"72290",72290,134353,501688
"72416",72416,10128,313867
"74025",74025,27031,363126
"52635",52635,57488,299488
"74126",74126,84447,361712
"52132",52132,90324,292724
"74229",74229,85315,316275
"74442",74442,166929,310849
"74478",74478,92017,689142
"75338",75338,220047,680270
"75398",75398,64983,291206
"75782",75782,167691,300866
"76485",76485,55830,306253
"76650",76650,140809,NA
"77721",77721,64969,296134
"77782",77782,10721,288079
"78779",78779,124044,498963
"80283",80283,80325,297432
"192775",192775,81033,116745
"233552",233552,81544,499211
"207785",207785,81566,315308
"71740",71740,81607,498281
"76130",76130,81887,296865
"68846",68846,727800,499748
"231532",231532,83478,305156
"207565",207565,10645,83506
"213980",213980,10517,NA
"80860",80860,84514,303542
"103724",103724,83874,360968
"244666",244666,83932,292101
"237911",237911,83990,360588
"226409",226409,84083,304761
"73674",73674,84128,314545
"71389",71389,84181,311607
"216292",216292,84190,314798
"69707",69707,84223,363796
"234878",234878,84451,307950
"208266",208266,84444,362831
"399568",399568,84529,499864
"76132",76132,84553,366333
"236727",236727,84679,317170
"217124",217124,84687,84686
"100756",100756,84749,304579
"171167",171167,84750,497619
"54151",54151,50626,NA
"232811",232811,84787,308345
"71989",71989,84881,315550
"215494",215494,84892,316091
"70551",70551,84899,290501
"233060",233060,84911,246264
"269717",269717,80228,304592
"66625",66625,25957,297942
"214932",214932,27440,312680
"117606",117606,91653,360715
"68310",68310,79830,313604
"76295",76295,23200,361929
"353242",353242,219927,309140
"331532",331532,340543,680282
"217733",217733,57156,314332
"242083",242083,151742,310506
"71799",71799,100526740,304278
"225010",225010,253558,362702
"240131",240131,339291,301711
"268749",268749,55072,364386
"12748",12748,1196,NA
"217262",217262,10350,287788
"233824",233824,91949,293456
"269952",269952,390637,308763
"70118",70118,402055,288717
"320214",320214,89876,303920
"93837",93837,117154,302333
"76306",76306,116843,309570
"102060",102060,90480,288916
"226594",226594,92241,360872
"22786",22786,22917,85271
"215085",215085,222553,502421
"252864",252864,128853,362238
"218194",218194,221692,306844
"407243",407243,387521,362278
"71063",71063,146434,266774
"75388",75388,66037,501143
"330812",330812,57484,364983
"277343",277343,90199,685170
"192193",192193,9695,297504
"382427",382427,144453,314847
"69675",69675,7837,554172
"214105",214105,11063,689918
"227059",227059,57181,363229
"117589",117589,140460,365277
"140780",140780,55589,498333
"109267",109267,136853,304401
"23856",23856,11083,362286
"140792",140792,81035,361289
"72351",72351,375743,286972
"270110",270110,359948,679357
"193670",193670,91445,360967
"238386",238386,55727,362772
"268721",268721,23053,361004
"78757",78757,253260,310131
"71781",71781,151473,316578
"67473",67473,55244,360539
"268822",268822,203054,362943
"245860",245860,79065,363254
"99526",99526,54532,295425
"74570",74570,7586,498160
"106489",106489,113402,292305
"54562",54562,23639,299920
"217995",217995,55127,361262
"544971",544971,55814,NA
"246782",246782,91647,303190
"243277",243277,283383,689257
"105000",105000,83544,685664
"67493",67493,79066,NA
"108837",108837,25998,315858
"68505",68505,738,120097389
"101148",101148,154743,500034
"246104",246104,162494,287556
"100504156",100504156,90050,299265
"69773",69773,90580,NA
"216438",216438,92979,679272
"78935",78935,113174,691143
"546648",546648,113730,NA
"71643",71643,55345,310880
"195359",195359,135644,365528
"244281",244281,23026,192253
"223513",223513,137735,286965
"72133",72133,142940,361775
"231871",231871,221955,304289
"277854",277854,9681,305464
"72503",72503,9703,NA
"76551",76551,8030,691155
"105651",105651,90673,691447
"217449",217449,51112,314013
"75079",75079,166793,305428
"215705",215705,92714,366001
"217143",217143,440435,NA
"52024",52024,118932,294093
"213054",213054,126626,295263
"245308",245308,131540,288045
"74354",74354,136332,296968
"67809",67809,55177,311328
"78100",78100,84437,500941
"69748",69748,126133,361571
"214855",214855,10865,316327
"258587",258587,390151,NA
"244421",244421,91694,306505
"108654",108654,125228,307343
"231004",231004,148398,102549710
"75219",75219,150290,305477
"632687",632687,162333,303596
"226075",226075,169792,680671
"229096",229096,253943,361920
"67291",67291,339230,688298
"75710",75710,10137,NA
"382543",382543,162282,102551403
"75234",75234,127544,313806
"214854",214854,93082,316326
"229707",229707,85369,362012
"235493",235493,56204,300836
"215031",215031,245806,309772
"319822",319822,114826,287525
"72650",72650,91574,498179
"232906",232906,2909,306400
"224902",224902,9667,301126
"226525",226525,9462,304893
"114874",114874,80821,305816
"213350",213350,347862,309110
"209773",209773,27147,312257
"212114",212114,387921,310416
"230700",230700,22887,313554
"21906",21906,133060,305427
"241327",241327,169611,296708
"243911",243911,84063,100359836
"72568",72568,286826,689523
"228859",228859,128486,NA
"271970",271970,79642,311013
"228911",228911,128553,100911757
"328424",328424,283518,305947
"329659",329659,285315,499630
"233033",233033,55095,308473
"66367",66367,126526,292739
"77446",77446,57493,689710
"213435",213435,91807,291926
"230594",230594,23318,313481
"278507",278507,124857,287631
"109077",109077,80789,309200
"76781",76781,64863,316731
"319582",319582,57604,306504
"319991",319991,221458,171291
"320234",320234,285331,306238
"320253",320253,115123,364878
"209334",209334,348654,298884
"75216",75216,145508,NA
"213556",213556,130271,313866
"230917",230917,199953,691426
"234776",234776,23300,315037
"78751",78751,376940,311415
"76223",76223,340351,500076
"246694",246694,11234,308598
"68718",68718,115992,365022
"654824",654824,353322,361149
"280621",280621,348303,499113
"78777",78777,146705,360673
"194388",194388,200424,680576
"378430",378430,339345,365213
"70574",70574,1368,314855
"73945",73945,54726,307774
"320916",320916,9671,360824
"57354",57354,57585,287127
"105522",105522,23243,306264
"104806",104806,57697,NA
"75690",75690,147645,308556
"333315",333315,166752,307767
"72823",72823,117583,301455
"237988",237988,30850,360656
"217218",217218,56970,287734
"16365",16365,730249,306127
"223332",223332,202151,294789
"225432",225432,54439,361317
"77422",77422,401207,100174910
"209361",209361,83860,NA
"69327",69327,138162,296608
"329908",329908,23358,313427
"71782",71782,23141,360829
"76800",76800,84132,288482
"240899",240899,440699,289199
"240055",240055,54492,303019
"73254",73254,343099,305628
"232585",232585,221806,502731
"244144",244144,57558,308834
"244871",244871,85463,315658
"67785",67785,9202,313598
"269966",269966,4928,81738
"269053",269053,390212,688884
"76265",76265,283989,690308
"76089",76089,9693,NA
"434128",434128,57469,308393
"75196",75196,56311,NA
"68166",68166,56907,307348
"665180",665180,154790,296985
"210356",210356,344148,363974
"381867",381867,728361,365226
"104158",104158,1066,NA
"381738",381738,92749,362712
"320679",320679,401474,NA
"381310",381310,375057,689499
"15160",15160,3053,79224
"15874",15874,3375,24476
"21834",21834,7068,24831
"108043",108043,1142,171131
"104086",104086,1593,301517
"11739",11739,291,85333
