"","Ensembl.macaca","Ensembl.mouse","Entrez.mouse","Unique.ID","Mouse.gene.name"
"ENSMFAG00000011367","ENSMFAG00000011367","ENSMUSG00000065601",387164,"ENSMFAG00000011367.387164","Mir146"
"ENSMFAG00000045752","ENSMFAG00000045752","ENSMUSG00000030849",14183,"ENSMFAG00000045752.14183","Fgfr2"
"ENSMFAG00000029449","ENSMFAG00000029449","ENSMUSG00000023439",14695,"ENSMFAG00000029449.14695","Gnb3"
"ENSMFAG00000037509","ENSMFAG00000037509","ENSMUSG00000020022",66414,"ENSMFAG00000037509.66414","Ndufa12"
"ENSMFAG00000041480","ENSMFAG00000041480","ENSMUSG00000025359",20431,"ENSMFAG00000041480.20431","Pmel"
"ENSMFAG00000034600","ENSMFAG00000034600","ENSMUSG00000025014",21673,"ENSMFAG00000034600.21673","Dntt"
"ENSMFAG00000036128","ENSMFAG00000036128","ENSMUSG00000039128",98828,"ENSMFAG00000036128.98828","Cdc123"
"ENSMFAG00000045373","ENSMFAG00000045373","ENSMUSG00000055415",319767,"ENSMFAG00000045373.319767","Atp10b"
"ENSMFAG00000028913","ENSMFAG00000028913","ENSMUSG00000034164",140703,"ENSMFAG00000028913.140703","Emid1"
"ENSMFAG00000040365","ENSMFAG00000040365","ENSMUSG00000054582",381404,"ENSMFAG00000040365.381404","Pabpc1l"
"ENSMFAG00000042353","ENSMFAG00000042353","ENSMUSG00000023505",14793,"ENSMFAG00000042353.14793","Cdca3"
"ENSMFAG00000003556","ENSMFAG00000003556","ENSMUSG00000019894",103098,"ENSMFAG00000003556.103098","Slc6a15"
"ENSMFAG00000038103","ENSMFAG00000038103","ENSMUSG00000022426",74158,"ENSMFAG00000038103.74158","Josd1"
"ENSMFAG00000035874","ENSMFAG00000035874","ENSMUSG00000047492",16326,"ENSMFAG00000035874.16326","Inhbe"
"ENSMFAG00000039982","ENSMFAG00000039982","ENSMUSG00000039145",227541,"ENSMFAG00000039982.227541","Camk1d"
"ENSMFAG00000000987","ENSMFAG00000000987","ENSMUSG00000030224",20901,"ENSMFAG00000000987.20901","Strap"
"ENSMFAG00000042638","ENSMFAG00000042638","ENSMUSG00000029423",57749,"ENSMFAG00000042638.57749","Piwil1"
"ENSMFAG00000035305","ENSMFAG00000035305","ENSMUSG00000005897",22025,"ENSMFAG00000035305.22025","Nr2c1"
"ENSMFAG00000043114","ENSMFAG00000043114","ENSMUSG00000050121",226115,"ENSMFAG00000043114.226115","Opalin"
"ENSMFAG00000044700","ENSMFAG00000044700","ENSMUSG00000025358",12566,"ENSMFAG00000044700.12566","Cdk2"
"ENSMFAG00000000814","ENSMFAG00000000814","ENSMUSG00000038429",22225,"ENSMFAG00000000814.22225","Usp5"
"ENSMFAG00000042107","ENSMFAG00000042107","ENSMUSG00000018322",67145,"ENSMFAG00000042107.67145","Tomm34"
"ENSMFAG00000032745","ENSMFAG00000032745","ENSMUSG00000025407",14632,"ENSMFAG00000032745.14632","Gli1"
"ENSMFAG00000044577","ENSMFAG00000044577","ENSMUSG00000034560",319277,"ENSMFAG00000044577.319277","Washc4"
"ENSMFAG00000000908","ENSMFAG00000000908","ENSMUSG00000030225",232449,"ENSMFAG00000000908.232449","Dera"
"ENSMFAG00000029992","ENSMFAG00000029992","ENSMUSG00000000711",19344,"ENSMFAG00000029992.19344","Rab5b"
"ENSMFAG00000000145","ENSMFAG00000000145","ENSMUSG00000061904",18674,"ENSMFAG00000000145.18674","Slc25a3"
"ENSMFAG00000002794","ENSMFAG00000002794","ENSMUSG00000025013",24087,"ENSMFAG00000002794.24087","Tll2"
"ENSMFAG00000030410","ENSMFAG00000030410","ENSMUSG00000018209",58231,"ENSMFAG00000030410.58231","Stk4"
"ENSMFAG00000036312","ENSMFAG00000036312","ENSMUSG00000038451",14794,"ENSMFAG00000036312.14794","Spsb2"
"ENSMFAG00000039577","ENSMFAG00000039577","ENSMUSG00000040345",216445,"ENSMFAG00000039577.216445","Arhgap9"
"ENSMFAG00000039926","ENSMFAG00000039926","ENSMUSG00000049858",211389,"ENSMFAG00000039926.211389","Suox"
"ENSMFAG00000035109","ENSMFAG00000035109","ENSMUSG00000020393",84035,"ENSMFAG00000035109.84035","Kremen1"
"ENSMFAG00000028075","ENSMFAG00000028075","ENSMUSG00000050777",170706,"ENSMFAG00000028075.170706","Tmem37"
"ENSMFAG00000000423","ENSMFAG00000000423","ENSMUSG00000044378",277898,"ENSMFAG00000000423.277898","Slc15a5"
"ENSMFAG00000001207","ENSMFAG00000001207","ENSMUSG00000024981",433256,"ENSMFAG00000001207.433256","Acsl5"
"ENSMFAG00000033709","ENSMFAG00000033709","ENSMUSG00000007653",14401,"ENSMFAG00000033709.14401","Gabrb2"
"ENSMFAG00000002625","ENSMFAG00000002625","ENSMUSG00000002578",22781,"ENSMFAG00000002625.22781","Ikzf4"
"ENSMFAG00000002926","ENSMFAG00000002926","ENSMUSG00000025016",107358,"ENSMFAG00000002926.107358","Tm9sf3"
"ENSMFAG00000040201","ENSMFAG00000040201","ENSMUSG00000030125",16977,"ENSMFAG00000040201.16977","Lrrc23"
"ENSMFAG00000014540","ENSMFAG00000014540","ENSMUSG00000077167",115487534,"ENSMFAG00000014540.115487534","Gm24119"
"ENSMFAG00000043142","ENSMFAG00000043142","ENSMUSG00000040154",209232,"ENSMFAG00000043142.209232","Wfdc5"
"ENSMFAG00000021726","ENSMFAG00000021726","ENSMUSG00000037279",107586,"ENSMFAG00000021726.107586","Ovol2"
"ENSMFAG00000033109","ENSMFAG00000033109","ENSMUSG00000008540",56615,"ENSMFAG00000033109.56615","Mgst1"
"ENSMFAG00000002898","ENSMFAG00000002898","ENSMUSG00000042845",192200,"ENSMFAG00000002898.192200","Wfdc12"
"ENSMFAG00000010123","ENSMFAG00000010123","ENSMUSG00000040354",216443,"ENSMFAG00000010123.216443","Mars1"
"ENSMFAG00000044599","ENSMFAG00000044599","ENSMUSG00000019892",74978,"ENSMFAG00000044599.74978","Lrriq1"
"ENSMFAG00000000358","ENSMFAG00000000358","ENSMUSG00000042564",75729,"ENSMFAG00000000358.75729","Fam227a"
"ENSMFAG00000041895","ENSMFAG00000041895","ENSMUSG00000029420",231760,"ENSMFAG00000041895.231760","Rimbp2"
"ENSMFAG00000038886","ENSMFAG00000038886","ENSMUSG00000020428",14399,"ENSMFAG00000038886.14399","Gabra6"
"ENSMFAG00000002938","ENSMFAG00000002938","ENSMUSG00000027424",74528,"ENSMFAG00000002938.74528","Mgme1"
"ENSMFAG00000046259","ENSMFAG00000046259","ENSMUSG00000025017",83490,"ENSMFAG00000046259.83490","Pik3ap1"
"ENSMFAG00000045834","ENSMFAG00000045834","ENSMUSG00000019975",67454,"ENSMFAG00000045834.67454","Ikbip"
"ENSMFAG00000033481","ENSMFAG00000033481","ENSMUSG00000026676",74186,"ENSMFAG00000033481.74186","Ccdc3"
"ENSMFAG00000040605","ENSMFAG00000040605","ENSMUSG00000017002",20568,"ENSMFAG00000040605.20568","Slpi"
"ENSMFAG00000038155","ENSMFAG00000038155","ENSMUSG00000020021",13998,"ENSMFAG00000038155.13998","Fgd6"
"ENSMFAG00000043698","ENSMFAG00000043698","ENSMUSG00000020263",216190,"ENSMFAG00000043698.216190","Appl2"
"ENSMFAG00000003928","ENSMFAG00000003928","ENSMUSG00000004267",13807,"ENSMFAG00000003928.13807","Eno2"
"ENSMFAG00000040171","ENSMFAG00000040171","ENSMUSG00000018166",13867,"ENSMFAG00000040171.13867","Erbb3"
"ENSMFAG00000045466","ENSMFAG00000045466","ENSMUSG00000022429",13404,"ENSMFAG00000045466.13404","Dmc1"
"ENSMFAG00000001160","ENSMFAG00000001160","ENSMUSG00000004085",65964,"ENSMFAG00000001160.65964","Map3k20"
"ENSMFAG00000029171","ENSMFAG00000029171","ENSMUSG00000030226",109593,"ENSMFAG00000029171.109593","Lmo3"
"ENSMFAG00000045791","ENSMFAG00000045791","ENSMUSG00000010803",14394,"ENSMFAG00000045791.14394","Gabra1"
"ENSMFAG00000041749","ENSMFAG00000041749","ENSMUSG00000024982",66980,"ENSMFAG00000041749.66980","Zdhhc6"
"ENSMFAG00000038475","ENSMFAG00000038475","ENSMUSG00000020218",24117,"ENSMFAG00000038475.24117","Wif1"
"ENSMFAG00000045578","ENSMFAG00000045578","ENSMUSG00000026672",71648,"ENSMFAG00000045578.71648","Optn"
"ENSMFAG00000002842","ENSMFAG00000002842","ENSMUSG00000026389",68428,"ENSMFAG00000002842.68428","Steap3"
"ENSMFAG00000035326","ENSMFAG00000035326","ENSMUSG00000020484",22433,"ENSMFAG00000035326.22433","Xbp1"
"ENSMFAG00000043722","ENSMFAG00000043722","ENSMUSG00000030850",11907,"ENSMFAG00000043722.11907","Ate1"
"ENSMFAG00000045278","ENSMFAG00000045278","ENSMUSG00000025408",13198,"ENSMFAG00000045278.13198","Ddit3"
"ENSMFAG00000041142","ENSMFAG00000041142","ENSMUSG00000017007",19668,"ENSMFAG00000041142.19668","Rbpjl"
"ENSMFAG00000039197","ENSMFAG00000039197","ENSMUSG00000019979",11783,"ENSMFAG00000039197.11783","Apaf1"
"ENSMFAG00000001982","ENSMFAG00000001982","ENSMUSG00000004263",13498,"ENSMFAG00000001982.13498","Atn1"
"ENSMFAG00000034573","ENSMFAG00000034573","ENSMUSG00000036907",226359,"ENSMFAG00000034573.226359","C1ql2"
"ENSMFAG00000002085","ENSMFAG00000002085","ENSMUSG00000025409",110962,"ENSMFAG00000002085.110962","Mbd6"
"ENSMFAG00000039632","ENSMFAG00000039632","ENSMUSG00000025019",212391,"ENSMFAG00000039632.212391","Lcor"
"ENSMFAG00000000188","ENSMFAG00000000188","ENSMUSG00000026950",17996,"ENSMFAG00000000188.17996","Neb"
"ENSMFAG00000033844","ENSMFAG00000033844","ENSMUSG00000055612",66953,"ENSMFAG00000033844.66953","Cdca7"
"ENSMFAG00000036513","ENSMFAG00000036513","ENSMUSG00000020436",14406,"ENSMFAG00000036513.14406","Gabrg2"
"ENSMFAG00000045363","ENSMFAG00000045363","ENSMUSG00000048661",380664,"ENSMFAG00000045363.380664","Lemd3"
"ENSMFAG00000031145","ENSMFAG00000031145","ENSMUSG00000026669",70024,"ENSMFAG00000031145.70024","Mcm10"
"ENSMFAG00000037627","ENSMFAG00000037627","ENSMUSG00000026390",17167,"ENSMFAG00000037627.17167","Marco"
"ENSMFAG00000046051","ENSMFAG00000046051","ENSMUSG00000055065",67040,"ENSMFAG00000046051.67040","Ddx17"
"ENSMFAG00000030471","ENSMFAG00000030471","ENSMUSG00000036602",216285,"ENSMFAG00000030471.216285","Alx1"
"ENSMFAG00000039266","ENSMFAG00000039266","ENSMUSG00000036099",215008,"ENSMFAG00000039266.215008","Vezt"
"ENSMFAG00000039584","ENSMFAG00000039584","ENSMUSG00000044921",237504,"ENSMFAG00000039584.237504","Rassf9"
"ENSMFAG00000001581","ENSMFAG00000001581","ENSMUSG00000025410",69654,"ENSMFAG00000001581.69654","Dctn2"
"ENSMFAG00000000251","ENSMFAG00000000251","ENSMUSG00000040331",67872,"ENSMFAG00000000251.67872","Nsmce4a"
"ENSMFAG00000027256","ENSMFAG00000027256","ENSMUSG00000039810",103284,"ENSMFAG00000027256.103284","Zc3h10"
"ENSMFAG00000024858","ENSMFAG00000024858","ENSMUSG00000019890",67405,"ENSMFAG00000024858.67405","Nts"
"ENSMFAG00000031622","ENSMFAG00000031622","ENSMUSG00000051236",320183,"ENSMFAG00000031622.320183","Msrb3"
"ENSMFAG00000043336","ENSMFAG00000043336","ENSMUSG00000026668",68527,"ENSMFAG00000043336.68527","Ucma"
"ENSMFAG00000044473","ENSMFAG00000044473","ENSMUSG00000019888",67569,"ENSMFAG00000044473.67569","Mgat4c"
"ENSMFAG00000036645","ENSMFAG00000036645","ENSMUSG00000026245",23874,"ENSMFAG00000036645.23874","Farsb"
"ENSMFAG00000025692","ENSMFAG00000025692","ENSMUSG00000092164",632971,"ENSMFAG00000025692.632971","Rergl"
"ENSMFAG00000033356","ENSMFAG00000033356","ENSMUSG00000004266",15170,"ENSMFAG00000033356.15170","Ptpn6"
"ENSMFAG00000039390","ENSMFAG00000039390","ENSMUSG00000058665",13798,"ENSMFAG00000039390.13798","En1"
"ENSMFAG00000000816","ENSMFAG00000000816","ENSMUSG00000020032",77976,"ENSMFAG00000000816.77976","Nuak1"
"ENSMFAG00000045033","ENSMFAG00000045033","ENSMUSG00000025020",20562,"ENSMFAG00000045033.20562","Slit1"
"ENSMFAG00000015943","ENSMFAG00000015943","ENSMUSG00000065607",723908,"ENSMFAG00000015943.723908","Mir331"
"ENSMFAG00000035711","ENSMFAG00000035711","ENSMUSG00000020326",12450,"ENSMFAG00000035711.12450","Ccng1"
"ENSMFAG00000044704","ENSMFAG00000044704","ENSMUSG00000029428",13852,"ENSMFAG00000044704.13852","Stx2"
"ENSMFAG00000042378","ENSMFAG00000042378","ENSMUSG00000026664",16922,"ENSMFAG00000042378.16922","Phyh"
"ENSMFAG00000036560","ENSMFAG00000036560","ENSMUSG00000046841",216197,"ENSMFAG00000036560.216197","Ckap4"
"ENSMFAG00000043460","ENSMFAG00000043460","ENSMUSG00000017721",78928,"ENSMFAG00000043460.78928","Pigt"
"ENSMFAG00000038846","ENSMFAG00000038846","ENSMUSG00000074657",16572,"ENSMFAG00000038846.16572","Kif5a"
"ENSMFAG00000011394","ENSMFAG00000011394","ENSMUSG00000065474",387159,"ENSMFAG00000011394.387159","Mir141"
"ENSMFAG00000043191","ENSMFAG00000043191","ENSMUSG00000024985",21416,"ENSMFAG00000043191.21416","Tcf7l2"
"ENSMFAG00000042033","ENSMFAG00000042033","ENSMUSG00000020034",216198,"ENSMFAG00000042033.216198","Tcp11l2"
"ENSMFAG00000036112","ENSMFAG00000036112","ENSMUSG00000012187",68393,"ENSMFAG00000036112.68393","Mogat1"
"ENSMFAG00000033044","ENSMFAG00000033044","ENSMUSG00000003721",72999,"ENSMFAG00000033044.72999","Insig2"
"ENSMFAG00000001253","ENSMFAG00000001253","ENSMUSG00000027109",20687,"ENSMFAG00000001253.20687","Sp3"
"ENSMFAG00000039915","ENSMFAG00000039915","ENSMUSG00000036112",56307,"ENSMFAG00000039915.56307","Metap2"
"ENSMFAG00000042277","ENSMFAG00000042277","ENSMUSG00000004264",12034,"ENSMFAG00000042277.12034","Phb2"
"ENSMFAG00000030037","ENSMFAG00000030037","ENSMUSG00000077714",100313519,"ENSMFAG00000030037.100313519","Snord17"
"ENSMFAG00000035482","ENSMFAG00000035482","ENSMUSG00000025366",23943,"ENSMFAG00000035482.23943","Esyt1"
"ENSMFAG00000016489","ENSMFAG00000016489","ENSMUSG00000030228",18705,"ENSMFAG00000016489.18705","Pik3c2g"
"ENSMFAG00000035690","ENSMFAG00000035690","ENSMUSG00000020330",15366,"ENSMFAG00000035690.15366","Hmmr"
"ENSMFAG00000037369","ENSMFAG00000037369","ENSMUSG00000030852",57752,"ENSMFAG00000037369.57752","Tacc2"
"ENSMFAG00000032660","ENSMFAG00000032660","ENSMUSG00000058589",77531,"ENSMFAG00000032660.77531","Anks1b"
"ENSMFAG00000042286","ENSMFAG00000042286","ENSMUSG00000010830",105785,"ENSMFAG00000042286.105785","Kdelr3"
"ENSMFAG00000012059","ENSMFAG00000012059","ENSMUSG00000088835",115490496,"ENSMFAG00000012059.115490496","Gm23547"
"ENSMFAG00000043391","ENSMFAG00000043391","ENSMUSG00000032883",74205,"ENSMFAG00000043391.74205","Acsl3"
"ENSMFAG00000038632","ENSMFAG00000038632","ENSMUSG00000026339",70829,"ENSMFAG00000038632.70829","Ccdc93"
"ENSMFAG00000039647","ENSMFAG00000039647","ENSMUSG00000056912",66605,"ENSMFAG00000039647.66605","1700017N19Rik"
"ENSMFAG00000037142","ENSMFAG00000037142","ENSMUSG00000004268",14791,"ENSMFAG00000037142.14791","Emg1"
"ENSMFAG00000034171","ENSMFAG00000034171","ENSMUSG00000037307",403171,"ENSMFAG00000034171.403171","Banf2"
"ENSMFAG00000043463","ENSMFAG00000043463","ENSMUSG00000017720",73603,"ENSMFAG00000043463.73603","Trp53tg5"
"ENSMFAG00000038298","ENSMFAG00000038298","ENSMUSG00000004270",14792,"ENSMFAG00000038298.14792","Lpcat3"
"ENSMFAG00000000540","ENSMFAG00000000540","ENSMUSG00000039449",67229,"ENSMFAG00000000540.67229","Prpf18"
"ENSMFAG00000044124","ENSMFAG00000044124","ENSMUSG00000027108",67059,"ENSMFAG00000044124.67059","Ola1"
"ENSMFAG00000038425","ENSMFAG00000038425","ENSMUSG00000034453",70428,"ENSMFAG00000038425.70428","Polr3b"
"ENSMFAG00000030693","ENSMFAG00000030693","ENSMUSG00000017723",67701,"ENSMFAG00000030693.67701","Wfdc2"
"ENSMFAG00000002721","ENSMFAG00000002721","ENSMUSG00000020224",66225,"ENSMFAG00000002721.66225","Llph"
"ENSMFAG00000002328","ENSMFAG00000002328","ENSMUSG00000020020",327799,"ENSMFAG00000002328.327799","Usp44"
"ENSMFAG00000031649","ENSMFAG00000031649","ENSMUSG00000044017",243277,"ENSMFAG00000031649.243277","Adgrd1"
"ENSMFAG00000042089","ENSMFAG00000042089","ENSMUSG00000074596",629747,"ENSMFAG00000042089.629747","Spint3"
"ENSMFAG00000002183","ENSMFAG00000002183","ENSMUSG00000025154",71085,"ENSMFAG00000002183.71085","Arhgap19"
"ENSMFAG00000003325","ENSMFAG00000003325","ENSMUSG00000022433",27373,"ENSMFAG00000003325.27373","Csnk1e"
"ENSMFAG00000030463","ENSMFAG00000030463","ENSMUSG00000020225",68212,"ENSMFAG00000030463.68212","Tmbim4"
"ENSMFAG00000040121","ENSMFAG00000040121","ENSMUSG00000025417",117150,"ENSMFAG00000040121.117150","Pip4k2c"
"ENSMFAG00000043999","ENSMFAG00000043999","ENSMUSG00000039824",216459,"ENSMFAG00000043999.216459","Myl6b"
"ENSMFAG00000045805","ENSMFAG00000045805","ENSMUSG00000050534",15564,"ENSMFAG00000045805.15564","Htr5b"
"ENSMFAG00000008658","ENSMFAG00000008658","ENSMUSG00000027422",81910,"ENSMFAG00000008658.81910","Rrbp1"
"ENSMFAG00000000050","ENSMFAG00000000050","ENSMUSG00000026657",209630,"ENSMFAG00000000050.209630","Frmd4a"
"ENSMFAG00000040537","ENSMFAG00000040537","ENSMUSG00000020019",57764,"ENSMFAG00000040537.57764","Ntn4"
"ENSMFAG00000000643","ENSMFAG00000000643","ENSMUSG00000017733",75526,"ENSMFAG00000000643.75526","Eppin"
"ENSMFAG00000039450","ENSMFAG00000039450","ENSMUSG00000054702",252903,"ENSMFAG00000039450.252903","Ap1s3"
"ENSMFAG00000042770","ENSMFAG00000042770","ENSMUSG00000040415",80904,"ENSMFAG00000042770.80904","Dtx3"
"ENSMFAG00000039051","ENSMFAG00000039051","ENSMUSG00000020227",73914,"ENSMFAG00000039051.73914","Irak3"
"ENSMFAG00000030907","ENSMFAG00000030907","ENSMUSG00000070533",277343,"ENSMFAG00000030907.277343","Wfdc8"
"ENSMFAG00000035384","ENSMFAG00000035384","ENSMUSG00000068859",381373,"ENSMFAG00000035384.381373","Sp9"
"ENSMFAG00000046048","ENSMFAG00000046048","ENSMUSG00000073643",69368,"ENSMFAG00000046048.69368","Wdfy1"
"ENSMFAG00000036538","ENSMFAG00000036538","ENSMUSG00000074594",629754,"ENSMFAG00000036538.629754","Wfdc9"
"ENSMFAG00000041558","ENSMFAG00000041558","ENSMUSG00000035049",107094,"ENSMFAG00000041558.107094","Rrp12"
"ENSMFAG00000043848","ENSMFAG00000043848","ENSMUSG00000019467",52666,"ENSMFAG00000043848.52666","Arhgef25"
"ENSMFAG00000038682","ENSMFAG00000038682","ENSMUSG00000019971",216274,"ENSMFAG00000038682.216274","Cep290"
"ENSMFAG00000042793","ENSMFAG00000042793","ENSMUSG00000026248",69163,"ENSMFAG00000042793.69163","Mrpl44"
"ENSMFAG00000002835","ENSMFAG00000002835","ENSMUSG00000049336",23964,"ENSMFAG00000002835.23964","Tenm2"
"ENSMFAG00000045953","ENSMFAG00000045953","ENSMUSG00000070529",629756,"ENSMFAG00000045953.629756","Wfdc10"
"ENSMFAG00000046264","ENSMFAG00000046264","ENSMUSG00000015890",71761,"ENSMFAG00000046264.71761","Amdhd1"
"ENSMFAG00000037352","ENSMFAG00000037352","ENSMUSG00000029439",231769,"ENSMFAG00000037352.231769","Sfswap"
"ENSMFAG00000035341","ENSMFAG00000035341","ENSMUSG00000041762",68526,"ENSMFAG00000035341.68526","Gpr155"
"ENSMFAG00000034045","ENSMFAG00000034045","ENSMUSG00000020228",117599,"ENSMFAG00000034045.117599","Helb"
"ENSMFAG00000040005","ENSMFAG00000040005","ENSMUSG00000078940",629761,"ENSMFAG00000040005.629761","Wfdc11"
"ENSMFAG00000001065","ENSMFAG00000001065","ENSMUSG00000030230",114875,"ENSMFAG00000001065.114875","Plcz1"
"ENSMFAG00000004071","ENSMFAG00000004071","ENSMUSG00000036815",269109,"ENSMFAG00000004071.269109","Dpp10"
"ENSMFAG00000000168","ENSMFAG00000000168","ENSMUSG00000038527",232371,"ENSMFAG00000000168.232371","C1rl"
"ENSMFAG00000043725","ENSMFAG00000043725","ENSMUSG00000026249",20720,"ENSMFAG00000043725.20720","Serpine2"
"ENSMFAG00000046328","ENSMFAG00000046328","ENSMUSG00000042632",53357,"ENSMFAG00000046328.53357","Pla2g6"
"ENSMFAG00000036972","ENSMFAG00000036972","ENSMUSG00000026655",66540,"ENSMFAG00000036972.66540","Fam107b"
"ENSMFAG00000034071","ENSMFAG00000034071","ENSMUSG00000036086",226409,"ENSMFAG00000034071.226409","Zranb3"
"ENSMFAG00000037647","ENSMFAG00000037647","ENSMUSG00000025075",226243,"ENSMFAG00000037647.226243","Habp2"
"ENSMFAG00000001764","ENSMFAG00000001764","ENSMUSG00000067704",408190,"ENSMFAG00000001764.408190","Wfdc13"
"ENSMFAG00000010028","ENSMFAG00000010028","ENSMUSG00000019951",75089,"ENSMFAG00000010028.75089","Bltp3b"
"ENSMFAG00000031497","ENSMFAG00000031497","ENSMUSG00000043230",241128,"ENSMFAG00000031497.241128","Fam124b"
"ENSMFAG00000031345","ENSMFAG00000031345","ENSMUSG00000029436",23948,"ENSMFAG00000031345.23948","Mmp17"
"ENSMFAG00000031029","ENSMFAG00000031029","ENSMUSG00000025369",68094,"ENSMFAG00000031029.68094","Smarcc2"
"ENSMFAG00000035780","ENSMFAG00000035780","ENSMUSG00000036168",237465,"ENSMFAG00000035780.237465","Ccdc38"
"ENSMFAG00000045468","ENSMFAG00000045468","ENSMUSG00000039496",227526,"ENSMFAG00000045468.227526","Cdnf"
"ENSMFAG00000002237","ENSMFAG00000002237","ENSMUSG00000040298",330660,"ENSMFAG00000002237.330660","Btbd16"
"ENSMFAG00000042167","ENSMFAG00000042167","ENSMUSG00000076434",71856,"ENSMFAG00000042167.71856","Wfdc3"
"ENSMFAG00000036803","ENSMFAG00000036803","ENSMUSG00000004364",26554,"ENSMFAG00000036803.26554","Cul3"
"ENSMFAG00000001493","ENSMFAG00000001493","ENSMUSG00000034321",66583,"ENSMFAG00000001493.66583","Exosc1"
"ENSMFAG00000042325","ENSMFAG00000042325","ENSMUSG00000040441",216441,"ENSMFAG00000042325.216441","Slc26a10"
"ENSMFAG00000042925","ENSMFAG00000042925","ENSMUSG00000008226",74616,"ENSMFAG00000042925.74616","Scrn3"
"ENSMFAG00000035524","ENSMFAG00000035524","ENSMUSG00000027420",12075,"ENSMFAG00000035524.12075","Bfsp1"
"ENSMFAG00000040575","ENSMFAG00000040575","ENSMUSG00000019948",67019,"ENSMFAG00000040575.67019","Actr6"
"ENSMFAG00000025207","ENSMFAG00000025207","ENSMUSG00000041791",12344,"ENSMFAG00000025207.12344","Capza3"
"ENSMFAG00000037303","ENSMFAG00000037303","ENSMUSG00000020017",15109,"ENSMFAG00000037303.15109","Hal"
"ENSMFAG00000001215","ENSMFAG00000001215","ENSMUSG00000025373",67588,"ENSMFAG00000001215.67588","Rnf41"
"ENSMFAG00000034631","ENSMFAG00000034631","ENSMUSG00000034813",74053,"ENSMFAG00000034631.74053","Grip1"
"ENSMFAG00000002768","ENSMFAG00000002768","ENSMUSG00000035620",237422,"ENSMFAG00000002768.237422","Ric8b"
"ENSMFAG00000044013","ENSMFAG00000044013","ENSMUSG00000017299",76233,"ENSMFAG00000044013.76233","Dnttip1"
"ENSMFAG00000046285","ENSMFAG00000046285","ENSMUSG00000036676",237500,"ENSMFAG00000046285.237500","Tmtc3"
"ENSMFAG00000025747","ENSMFAG00000025747","ENSMUSG00000027375",17153,"ENSMFAG00000025747.17153","Mal"
"ENSMFAG00000042634","ENSMFAG00000042634","ENSMUSG00000008153",232370,"ENSMFAG00000042634.232370","Clstn3"
"ENSMFAG00000041484","ENSMFAG00000041484","ENSMUSG00000040268",101476,"ENSMFAG00000041484.101476","Plekha1"
"ENSMFAG00000041194","ENSMFAG00000041194","ENSMUSG00000029507",56361,"ENSMFAG00000041194.56361","Pus1"
"ENSMFAG00000041608","ENSMFAG00000041608","ENSMUSG00000025157",74168,"ENSMFAG00000041608.74168","Zdhhc16"
"ENSMFAG00000000354","ENSMFAG00000000354","ENSMUSG00000025374",69917,"ENSMFAG00000000354.69917","Nabp2"
"ENSMFAG00000001231","ENSMFAG00000001231","ENSMUSG00000049134",18175,"ENSMFAG00000001231.18175","Nrap"
"ENSMFAG00000037979","ENSMFAG00000037979","ENSMUSG00000027419",18549,"ENSMFAG00000037979.18549","Pcsk2"
"ENSMFAG00000044988","ENSMFAG00000044988","ENSMUSG00000039878",72002,"ENSMFAG00000044988.72002","Slc39a5"
"ENSMFAG00000041594","ENSMFAG00000041594","ENSMUSG00000026341",74117,"ENSMFAG00000041594.74117","Actr3"
"ENSMFAG00000034688","ENSMFAG00000034688","ENSMUSG00000006731",14421,"ENSMFAG00000034688.14421","B4galnt1"
"ENSMFAG00000000319","ENSMFAG00000000319","ENSMUSG00000042622",17133,"ENSMFAG00000000319.17133","Maff"
"ENSMFAG00000037030","ENSMFAG00000037030","ENSMUSG00000014498",237615,"ENSMFAG00000037030.237615","Ankrd52"
"ENSMFAG00000034165","ENSMFAG00000034165","ENSMUSG00000075284",215280,"ENSMFAG00000034165.215280","Wipf1"
"ENSMFAG00000037602","ENSMFAG00000037602","ENSMUSG00000005069",19305,"ENSMFAG00000037602.19305","Pex5"
"ENSMFAG00000000948","ENSMFAG00000000948","ENSMUSG00000015889",16993,"ENSMFAG00000000948.16993","Lta4h"
"ENSMFAG00000044439","ENSMFAG00000044439","ENSMUSG00000006205",56213,"ENSMFAG00000044439.56213","Htra1"
"ENSMFAG00000005912","ENSMFAG00000005912","ENSMUSG00000077254",115490290,"ENSMFAG00000005912.115490290","Gm26079"
"ENSMFAG00000031189","ENSMFAG00000031189","ENSMUSG00000029504",69663,"ENSMFAG00000031189.69663","Ddx51"
"ENSMFAG00000041360","ENSMFAG00000041360","ENSMUSG00000060935",103266,"ENSMFAG00000041360.103266","Tmem263"
"ENSMFAG00000030797","ENSMFAG00000030797","ENSMUSG00000074665",381399,"ENSMFAG00000030797.381399","Bpifb4"
"ENSMFAG00000037927","ENSMFAG00000037927","ENSMUSG00000017300",21925,"ENSMFAG00000037927.21925","Tnnc2"
"ENSMFAG00000044406","ENSMFAG00000044406","ENSMUSG00000020114",71902,"ENSMFAG00000044406.71902","Cand1"
"ENSMFAG00000001843","ENSMFAG00000001843","ENSMUSG00000026342",74150,"ENSMFAG00000001843.74150","Slc35f5"
"ENSMFAG00000029443","ENSMFAG00000029443","ENSMUSG00000049038",74238,"ENSMFAG00000029443.74238","Mterf2"
"ENSMFAG00000042992","ENSMFAG00000042992","ENSMUSG00000027107",11435,"ENSMFAG00000042992.11435","Chrna1"
